Unnamed: 0,user_location,id,date,text,in_reply_to_status_id,in_reply_to_user_id,retweet_original_user,retweet_original_tweet_id,hashtags,retweet_count,favorite_count,source,user_id,cleaned
250,,1517950611840540673,2022-04-23 19:36:42+00:00,"@MERAGFX @killabearsnft Great pick! 🔥
#BearMarket https://t.co/SwPH5SZqSq",1.517865611904303e+18,1.0343057916106056e+18,,,['BearMarket'],1,2,Twitter Web App,1.4874169040337428e+18,meragfx killabearsnft great pick 🔥 bearmarket
251,,1517930161227780096,2022-04-23 18:15:26+00:00,@killabearsnft numba five 🐻 Calling him Evil Bear-Neevile 🚲 or Stunt Bear 🤔 Might have to lock this one in the vault 🔒 #KillaBears #BearMarket #KillaCommunity https://t.co/N1S5zUsESj,,1.430906616241541e+18,,,,15,34,Twitter for iPhone,1.4781769877598413e+18,killabearsnft numba five 🐻 calling him evil bear-neevile 🚲 or stunt bear 🤔 might have to lock this one the vault 🔒 killabears bearmarket killacommunity
252,,1517898531683684355,2022-04-23 16:09:45+00:00,@MERAGFX @killabearsnft Welcome to the fam Clay! You picked such a clean bear! #bearmarket https://t.co/DCBB6Ehkl3,1.517865611904303e+18,1.0343057916106056e+18,,,['bearmarket'],1,7,Twitter for Android,1.5002994944323338e+18,meragfx killabearsnft welcome to the fam clay you picked such clean bear bearmarket
253,pssssd lab,1517865611904303104,2022-04-23 13:58:57+00:00,wassup @killabearsnft #bearish #bearmarket https://t.co/4AzQse4G2o,,,,,"['bearish', 'bearmarket']",20,51,Twitter for iPhone,1.0343057916106056e+18,wassup killabearsnft bearish bearmarket
254,pssssd lab,1517865611904303104,2022-04-23 13:58:57+00:00,wassup @killabearsnft #bearish #bearmarket https://t.co/4AzQse4G2o,,,,,"['bearish', 'bearmarket']",20,51,Twitter for iPhone,1.0343057916106056e+18,wassup killabearsnft bearish bearmarket
255,Toy Store,1517909017498161153,2022-04-23 16:51:25+00:00,JOIN US!  #KILLABEARS #BearMarket https://t.co/iVi5qL3N8J,,,,,"['KILLABEARS', 'BearMarket']",13,20,Twitter for iPhone,1.430906616241541e+18,join us killabears bearmarket
256,,1517930161227780096,2022-04-23 18:15:26+00:00,@killabearsnft numba five 🐻 Calling him Evil Bear-Neevile 🚲 or Stunt Bear 🤔 Might have to lock this one in the vault 🔒 #KillaBears #BearMarket #KillaCommunity https://t.co/N1S5zUsESj,,1.430906616241541e+18,,,,15,34,Twitter for iPhone,1.4781769877598413e+18,killabearsnft numba five 🐻 calling him evil bear-neevile 🚲 or stunt bear 🤔 might have to lock this one the vault 🔒 killabears bearmarket killacommunity
257,pssssd lab,1517865611904303104,2022-04-23 13:58:57+00:00,wassup @killabearsnft #bearish #bearmarket https://t.co/4AzQse4G2o,,,,,"['bearish', 'bearmarket']",20,51,Twitter for iPhone,1.0343057916106056e+18,wassup killabearsnft bearish bearmarket
258,Kona/California,1517625880083795973,2022-04-22 22:06:20+00:00,#NewProfilePic who dis?! @killabearsnft #kitsume #killabears #bearmarket 🫶🏽 https://t.co/cCjlHG9Yrs,,,,,"['NewProfilePic', 'kitsume', 'killabears', 'bearmarket']",14,44,Twitter for iPhone,163233707.0,newprofilepic who dis killabearsnft kitsume killabears bearmarket 🫶🏽
259,Kona/California,1517625880083795973,2022-04-22 22:06:20+00:00,#NewProfilePic who dis?! @killabearsnft #kitsume #killabears #bearmarket 🫶🏽 https://t.co/cCjlHG9Yrs,,,,,"['NewProfilePic', 'kitsume', 'killabears', 'bearmarket']",14,44,Twitter for iPhone,163233707.0,newprofilepic who dis killabearsnft kitsume killabears bearmarket 🫶🏽
260,,1517894246468136961,2022-04-23 15:52:44+00:00,@SEECRITS 🐻Go get you a KillaBear! @killabearsnft #bearmarket https://t.co/jKS5ndplrY,1.5176698548447928e+18,1.3870643439891948e+18,,,['bearmarket'],1,1,Twitter Web App,1.4874169040337428e+18,seecrits 🐻go get you killabear killabearsnft bearmarket
261,United States,1517935691195248640,2022-04-23 18:37:25+00:00,"@killabearsnft SWEEEEP 🧹🧹🧹
My little Swiffer was followed by @EthViral's industrial leaf blower 😅 
#KillaBears #BearMarket #BearyBullish #KillaKrew https://t.co/Wwea2x6TLi",,1.430906616241541e+18,,,['KillaBears'],24,37,Twitter Web App,1.488380779738456e+18,killabearsnft sweeeep 🧹🧹🧹 my little swiffer was followed by ethviral 's industrial leaf blower 😅 killabears bearmarket bearybullish killakrew
262,,1517942208825118721,2022-04-23 19:03:19+00:00,"Do you have a solution? 
""Whats your plan for the next #bearmarket? Are you locked and loaded?
#NFTs could potentially be your safe haven.

We at #FLAWLESSPROOF are making NFTs more safe and sustainable again.""

Discover https://t.co/XBpxIV8UfS https://t.co/9vg8q7izR4",,,,,"['bearmarket', 'NFTs']",8,17,Twitter Web App,1.5037529009625702e+18,do you have solution `` whats your plan for the next bearmarket are you locked and loaded nfts could potentially be your safe haven we at flawlessproof are making nfts more safe and sustainable again '' discover
263,United States,1517935691195248640,2022-04-23 18:37:25+00:00,"@killabearsnft SWEEEEP 🧹🧹🧹
My little Swiffer was followed by @EthViral's industrial leaf blower 😅 
#KillaBears #BearMarket #BearyBullish #KillaKrew https://t.co/Wwea2x6TLi",,1.430906616241541e+18,,,['KillaBears'],24,37,Twitter Web App,1.488380779738456e+18,killabearsnft sweeeep 🧹🧹🧹 my little swiffer was followed by ethviral 's industrial leaf blower 😅 killabears bearmarket bearybullish killakrew
264,"Houston, Texas",1517856932035547136,2022-04-23 13:24:27+00:00,"The #RealInvestmentReport is out. 
The #selloff took the #market below support and looks to retest the March lows. While the S&amp;P is down ~10%, there is a large contingent of stocks down &gt;20%. Did we go through a #bearmarket and not know it?
https://t.co/6m3KWZnbbA",,,,,"['RealInvestmentReport', 'selloff', 'market']",7,33,Twitter Web App,49958733.0,the realinvestmentreport is out the selloff took the market below support and looks to retest the march lows while the s amp p is down ~10 there is large contingent of stocks down gt 20 did we go through bearmarket and not know it
265,,1517890278836903936,2022-04-23 15:36:58+00:00,@nftparticle @killabearsnft #bearmarket https://t.co/zvaM3CNuOa,1.5178858158499471e+18,1.4598534683746017e+18,,,['bearmarket'],1,4,Twitter for Android,1.5002994944323338e+18,nftparticle killabearsnft bearmarket
266,,1517942208825118721,2022-04-23 19:03:19+00:00,"Do you have a solution? 
""Whats your plan for the next #bearmarket? Are you locked and loaded?
#NFTs could potentially be your safe haven.

We at #FLAWLESSPROOF are making NFTs more safe and sustainable again.""

Discover https://t.co/XBpxIV8UfS https://t.co/9vg8q7izR4",,,,,"['bearmarket', 'NFTs']",8,17,Twitter Web App,1.5037529009625702e+18,do you have solution `` whats your plan for the next bearmarket are you locked and loaded nfts could potentially be your safe haven we at flawlessproof are making nfts more safe and sustainable again '' discover
267,,1517942208825118721,2022-04-23 19:03:19+00:00,"Do you have a solution? 
""Whats your plan for the next #bearmarket? Are you locked and loaded?
#NFTs could potentially be your safe haven.

We at #FLAWLESSPROOF are making NFTs more safe and sustainable again.""

Discover https://t.co/XBpxIV8UfS https://t.co/9vg8q7izR4",,,,,"['bearmarket', 'NFTs']",8,17,Twitter Web App,1.5037529009625702e+18,do you have solution `` whats your plan for the next bearmarket are you locked and loaded nfts could potentially be your safe haven we at flawlessproof are making nfts more safe and sustainable again '' discover
268,Toy Store,1517909017498161153,2022-04-23 16:51:25+00:00,JOIN US!  #KILLABEARS #BearMarket https://t.co/iVi5qL3N8J,,,,,"['KILLABEARS', 'BearMarket']",13,20,Twitter for iPhone,1.430906616241541e+18,join us killabears bearmarket
269,,1517884796818628611,2022-04-23 15:15:11+00:00,"@kaiyabunga @killabearsnft is a must buy. 
-team that transparent and talks
-great community
-free mint to 700 ETH in a week
-roadmap that already began
-DOPE ART
-ANIMATED NFT
#KillaBears #BearMarket #KillaFollowKilla https://t.co/kY9sVApZzR",1.517879343116165e+18,43755592.0,,,,1,4,Twitter Web App,1.5152204165744148e+18,kaiyabunga killabearsnft is must buy -team that transparent and talks -great community -free mint to 700 eth week -roadmap that already began -dope art -animated nft killabears bearmarket killafollowkilla
270,,1517942208825118721,2022-04-23 19:03:19+00:00,"Do you have a solution? 
""Whats your plan for the next #bearmarket? Are you locked and loaded?
#NFTs could potentially be your safe haven.

We at #FLAWLESSPROOF are making NFTs more safe and sustainable again.""

Discover https://t.co/XBpxIV8UfS https://t.co/9vg8q7izR4",,,,,"['bearmarket', 'NFTs']",8,17,Twitter Web App,1.5037529009625702e+18,do you have solution `` whats your plan for the next bearmarket are you locked and loaded nfts could potentially be your safe haven we at flawlessproof are making nfts more safe and sustainable again '' discover
271,,1517942208825118721,2022-04-23 19:03:19+00:00,"Do you have a solution? 
""Whats your plan for the next #bearmarket? Are you locked and loaded?
#NFTs could potentially be your safe haven.

We at #FLAWLESSPROOF are making NFTs more safe and sustainable again.""

Discover https://t.co/XBpxIV8UfS https://t.co/9vg8q7izR4",,,,,"['bearmarket', 'NFTs']",8,17,Twitter Web App,1.5037529009625702e+18,do you have solution `` whats your plan for the next bearmarket are you locked and loaded nfts could potentially be your safe haven we at flawlessproof are making nfts more safe and sustainable again '' discover
272,,1517942208825118721,2022-04-23 19:03:19+00:00,"Do you have a solution? 
""Whats your plan for the next #bearmarket? Are you locked and loaded?
#NFTs could potentially be your safe haven.

We at #FLAWLESSPROOF are making NFTs more safe and sustainable again.""

Discover https://t.co/XBpxIV8UfS https://t.co/9vg8q7izR4",,,,,"['bearmarket', 'NFTs']",8,17,Twitter Web App,1.5037529009625702e+18,do you have solution `` whats your plan for the next bearmarket are you locked and loaded nfts could potentially be your safe haven we at flawlessproof are making nfts more safe and sustainable again '' discover
273,,1517924224639246337,2022-04-23 17:51:51+00:00,LFGGG❤️🐻📈👀 @killabearsnft @memoangeles @kickRRR can’t wait to see how this turns out!! Literally woke up in tears this morning this is my first real project and I can say I’m so glad I chose this community! #bearybullish #bearmarket #killasfollowkillas #killabearsNFT https://t.co/B3qHkVtiWf,,,,,,30,61,Twitter for iPhone,1.4851243557260534e+18,lfggg❤️🐻📈👀 killabearsnft memoangeles kickrrr can ’ t wait to see how this turns out literally woke up tears this morning this is my first real project and can say ’ m so glad chose this community bearybullish bearmarket killasfollowkillas killabearsnft
274,,1517942208825118721,2022-04-23 19:03:19+00:00,"Do you have a solution? 
""Whats your plan for the next #bearmarket? Are you locked and loaded?
#NFTs could potentially be your safe haven.

We at #FLAWLESSPROOF are making NFTs more safe and sustainable again.""

Discover https://t.co/XBpxIV8UfS https://t.co/9vg8q7izR4",,,,,"['bearmarket', 'NFTs']",8,17,Twitter Web App,1.5037529009625702e+18,do you have solution `` whats your plan for the next bearmarket are you locked and loaded nfts could potentially be your safe haven we at flawlessproof are making nfts more safe and sustainable again '' discover
275,,1517924224639246337,2022-04-23 17:51:51+00:00,LFGGG❤️🐻📈👀 @killabearsnft @memoangeles @kickRRR can’t wait to see how this turns out!! Literally woke up in tears this morning this is my first real project and I can say I’m so glad I chose this community! #bearybullish #bearmarket #killasfollowkillas #killabearsNFT https://t.co/B3qHkVtiWf,,,,,,30,61,Twitter for iPhone,1.4851243557260534e+18,lfggg❤️🐻📈👀 killabearsnft memoangeles kickrrr can ’ t wait to see how this turns out literally woke up tears this morning this is my first real project and can say ’ m so glad chose this community bearybullish bearmarket killasfollowkillas killabearsnft
276,United States,1517935691195248640,2022-04-23 18:37:25+00:00,"@killabearsnft SWEEEEP 🧹🧹🧹
My little Swiffer was followed by @EthViral's industrial leaf blower 😅 
#KillaBears #BearMarket #BearyBullish #KillaKrew https://t.co/Wwea2x6TLi",,1.430906616241541e+18,,,['KillaBears'],24,37,Twitter Web App,1.488380779738456e+18,killabearsnft sweeeep 🧹🧹🧹 my little swiffer was followed by ethviral 's industrial leaf blower 😅 killabears bearmarket bearybullish killakrew
277,United States,1517935691195248640,2022-04-23 18:37:25+00:00,"@killabearsnft SWEEEEP 🧹🧹🧹
My little Swiffer was followed by @EthViral's industrial leaf blower 😅 
#KillaBears #BearMarket #BearyBullish #KillaKrew https://t.co/Wwea2x6TLi",,1.430906616241541e+18,,,['KillaBears'],24,37,Twitter Web App,1.488380779738456e+18,killabearsnft sweeeep 🧹🧹🧹 my little swiffer was followed by ethviral 's industrial leaf blower 😅 killabears bearmarket bearybullish killakrew
278,United States,1517935691195248640,2022-04-23 18:37:25+00:00,"@killabearsnft SWEEEEP 🧹🧹🧹
My little Swiffer was followed by @EthViral's industrial leaf blower 😅 
#KillaBears #BearMarket #BearyBullish #KillaKrew https://t.co/Wwea2x6TLi",,1.430906616241541e+18,,,['KillaBears'],24,37,Twitter Web App,1.488380779738456e+18,killabearsnft sweeeep 🧹🧹🧹 my little swiffer was followed by ethviral 's industrial leaf blower 😅 killabears bearmarket bearybullish killakrew
279,United States,1517935691195248640,2022-04-23 18:37:25+00:00,"@killabearsnft SWEEEEP 🧹🧹🧹
My little Swiffer was followed by @EthViral's industrial leaf blower 😅 
#KillaBears #BearMarket #BearyBullish #KillaKrew https://t.co/Wwea2x6TLi",,1.430906616241541e+18,,,['KillaBears'],24,37,Twitter Web App,1.488380779738456e+18,killabearsnft sweeeep 🧹🧹🧹 my little swiffer was followed by ethviral 's industrial leaf blower 😅 killabears bearmarket bearybullish killakrew
280,United States,1517935691195248640,2022-04-23 18:37:25+00:00,"@killabearsnft SWEEEEP 🧹🧹🧹
My little Swiffer was followed by @EthViral's industrial leaf blower 😅 
#KillaBears #BearMarket #BearyBullish #KillaKrew https://t.co/Wwea2x6TLi",,1.430906616241541e+18,,,['KillaBears'],24,37,Twitter Web App,1.488380779738456e+18,killabearsnft sweeeep 🧹🧹🧹 my little swiffer was followed by ethviral 's industrial leaf blower 😅 killabears bearmarket bearybullish killakrew
281,United States,1517935691195248640,2022-04-23 18:37:25+00:00,"@killabearsnft SWEEEEP 🧹🧹🧹
My little Swiffer was followed by @EthViral's industrial leaf blower 😅 
#KillaBears #BearMarket #BearyBullish #KillaKrew https://t.co/Wwea2x6TLi",,1.430906616241541e+18,,,['KillaBears'],24,37,Twitter Web App,1.488380779738456e+18,killabearsnft sweeeep 🧹🧹🧹 my little swiffer was followed by ethviral 's industrial leaf blower 😅 killabears bearmarket bearybullish killakrew
282,United States,1517935691195248640,2022-04-23 18:37:25+00:00,"@killabearsnft SWEEEEP 🧹🧹🧹
My little Swiffer was followed by @EthViral's industrial leaf blower 😅 
#KillaBears #BearMarket #BearyBullish #KillaKrew https://t.co/Wwea2x6TLi",,1.430906616241541e+18,,,['KillaBears'],24,37,Twitter Web App,1.488380779738456e+18,killabearsnft sweeeep 🧹🧹🧹 my little swiffer was followed by ethviral 's industrial leaf blower 😅 killabears bearmarket bearybullish killakrew
283,United States,1517935691195248640,2022-04-23 18:37:25+00:00,"@killabearsnft SWEEEEP 🧹🧹🧹
My little Swiffer was followed by @EthViral's industrial leaf blower 😅 
#KillaBears #BearMarket #BearyBullish #KillaKrew https://t.co/Wwea2x6TLi",,1.430906616241541e+18,,,['KillaBears'],24,37,Twitter Web App,1.488380779738456e+18,killabearsnft sweeeep 🧹🧹🧹 my little swiffer was followed by ethviral 's industrial leaf blower 😅 killabears bearmarket bearybullish killakrew
284,United States,1517935691195248640,2022-04-23 18:37:25+00:00,"@killabearsnft SWEEEEP 🧹🧹🧹
My little Swiffer was followed by @EthViral's industrial leaf blower 😅 
#KillaBears #BearMarket #BearyBullish #KillaKrew https://t.co/Wwea2x6TLi",,1.430906616241541e+18,,,['KillaBears'],24,37,Twitter Web App,1.488380779738456e+18,killabearsnft sweeeep 🧹🧹🧹 my little swiffer was followed by ethviral 's industrial leaf blower 😅 killabears bearmarket bearybullish killakrew
285,United States,1517934562587729922,2022-04-23 18:32:56+00:00,"So many good snipes on the floor 🔫
Had to cop these two listed way below trait floor 🔥📈
@killabearsnft @killabearsbot @memoangeles 
#KillaBears #BearMarket #BearyBullish #KillaKrew https://t.co/C0y9mGyIgh",,,,,,4,11,Twitter Web App,1.488380779738456e+18,so many good snipes on the floor 🔫 had to cop these two listed way below trait floor 🔥📈 killabearsnft killabearsbot memoangeles killabears bearmarket bearybullish killakrew
286,United States,1517935691195248640,2022-04-23 18:37:25+00:00,"@killabearsnft SWEEEEP 🧹🧹🧹
My little Swiffer was followed by @EthViral's industrial leaf blower 😅 
#KillaBears #BearMarket #BearyBullish #KillaKrew https://t.co/Wwea2x6TLi",,1.430906616241541e+18,,,['KillaBears'],24,37,Twitter Web App,1.488380779738456e+18,killabearsnft sweeeep 🧹🧹🧹 my little swiffer was followed by ethviral 's industrial leaf blower 😅 killabears bearmarket bearybullish killakrew
287,United States,1517935691195248640,2022-04-23 18:37:25+00:00,"@killabearsnft SWEEEEP 🧹🧹🧹
My little Swiffer was followed by @EthViral's industrial leaf blower 😅 
#KillaBears #BearMarket #BearyBullish #KillaKrew https://t.co/Wwea2x6TLi",,1.430906616241541e+18,,,['KillaBears'],24,37,Twitter Web App,1.488380779738456e+18,killabearsnft sweeeep 🧹🧹🧹 my little swiffer was followed by ethviral 's industrial leaf blower 😅 killabears bearmarket bearybullish killakrew
288,United States,1517935691195248640,2022-04-23 18:37:25+00:00,"@killabearsnft SWEEEEP 🧹🧹🧹
My little Swiffer was followed by @EthViral's industrial leaf blower 😅 
#KillaBears #BearMarket #BearyBullish #KillaKrew https://t.co/Wwea2x6TLi",,1.430906616241541e+18,,,['KillaBears'],24,37,Twitter Web App,1.488380779738456e+18,killabearsnft sweeeep 🧹🧹🧹 my little swiffer was followed by ethviral 's industrial leaf blower 😅 killabears bearmarket bearybullish killakrew
289,,1517924224639246337,2022-04-23 17:51:51+00:00,LFGGG❤️🐻📈👀 @killabearsnft @memoangeles @kickRRR can’t wait to see how this turns out!! Literally woke up in tears this morning this is my first real project and I can say I’m so glad I chose this community! #bearybullish #bearmarket #killasfollowkillas #killabearsNFT https://t.co/B3qHkVtiWf,,,,,,30,61,Twitter for iPhone,1.4851243557260534e+18,lfggg❤️🐻📈👀 killabearsnft memoangeles kickrrr can ’ t wait to see how this turns out literally woke up tears this morning this is my first real project and can say ’ m so glad chose this community bearybullish bearmarket killasfollowkillas killabearsnft
290,United States,1517935691195248640,2022-04-23 18:37:25+00:00,"@killabearsnft SWEEEEP 🧹🧹🧹
My little Swiffer was followed by @EthViral's industrial leaf blower 😅 
#KillaBears #BearMarket #BearyBullish #KillaKrew https://t.co/Wwea2x6TLi",,1.430906616241541e+18,,,['KillaBears'],24,37,Twitter Web App,1.488380779738456e+18,killabearsnft sweeeep 🧹🧹🧹 my little swiffer was followed by ethviral 's industrial leaf blower 😅 killabears bearmarket bearybullish killakrew
291,United States,1517935691195248640,2022-04-23 18:37:25+00:00,"@killabearsnft SWEEEEP 🧹🧹🧹
My little Swiffer was followed by @EthViral's industrial leaf blower 😅 
#KillaBears #BearMarket #BearyBullish #KillaKrew https://t.co/Wwea2x6TLi",,1.430906616241541e+18,,,['KillaBears'],24,37,Twitter Web App,1.488380779738456e+18,killabearsnft sweeeep 🧹🧹🧹 my little swiffer was followed by ethviral 's industrial leaf blower 😅 killabears bearmarket bearybullish killakrew
292,United States,1517935691195248640,2022-04-23 18:37:25+00:00,"@killabearsnft SWEEEEP 🧹🧹🧹
My little Swiffer was followed by @EthViral's industrial leaf blower 😅 
#KillaBears #BearMarket #BearyBullish #KillaKrew https://t.co/Wwea2x6TLi",,1.430906616241541e+18,,,['KillaBears'],24,37,Twitter Web App,1.488380779738456e+18,killabearsnft sweeeep 🧹🧹🧹 my little swiffer was followed by ethviral 's industrial leaf blower 😅 killabears bearmarket bearybullish killakrew
293,Toy Store,1517909017498161153,2022-04-23 16:51:25+00:00,JOIN US!  #KILLABEARS #BearMarket https://t.co/iVi5qL3N8J,,,,,"['KILLABEARS', 'BearMarket']",13,20,Twitter for iPhone,1.430906616241541e+18,join us killabears bearmarket
294,United States,1517934562587729922,2022-04-23 18:32:56+00:00,"So many good snipes on the floor 🔫
Had to cop these two listed way below trait floor 🔥📈
@killabearsnft @killabearsbot @memoangeles 
#KillaBears #BearMarket #BearyBullish #KillaKrew https://t.co/C0y9mGyIgh",,,,,,4,11,Twitter Web App,1.488380779738456e+18,so many good snipes on the floor 🔫 had to cop these two listed way below trait floor 🔥📈 killabearsnft killabearsbot memoangeles killabears bearmarket bearybullish killakrew
295,United States,1517935691195248640,2022-04-23 18:37:25+00:00,"@killabearsnft SWEEEEP 🧹🧹🧹
My little Swiffer was followed by @EthViral's industrial leaf blower 😅 
#KillaBears #BearMarket #BearyBullish #KillaKrew https://t.co/Wwea2x6TLi",,1.430906616241541e+18,,,['KillaBears'],24,37,Twitter Web App,1.488380779738456e+18,killabearsnft sweeeep 🧹🧹🧹 my little swiffer was followed by ethviral 's industrial leaf blower 😅 killabears bearmarket bearybullish killakrew
296,United States,1517935691195248640,2022-04-23 18:37:25+00:00,"@killabearsnft SWEEEEP 🧹🧹🧹
My little Swiffer was followed by @EthViral's industrial leaf blower 😅 
#KillaBears #BearMarket #BearyBullish #KillaKrew https://t.co/Wwea2x6TLi",,1.430906616241541e+18,,,['KillaBears'],24,37,Twitter Web App,1.488380779738456e+18,killabearsnft sweeeep 🧹🧹🧹 my little swiffer was followed by ethviral 's industrial leaf blower 😅 killabears bearmarket bearybullish killakrew
